"week","sum_degree","sum_degree_sensor","case_norm","case_sensor_norm","ili","case_degree_sensor_ratio","case_degree_ratio","week_flu_season","ili_lag1","sum_degree_sensor_lag1","sum_degree_lag1","case_norm_lag1","case_sensor_norm_lag1","case_degree_sensor_ratio_lag1","case_degree_ratio_lag1","ili_lag2","sum_degree_sensor_lag2","sum_degree_lag2","case_norm_lag2","case_sensor_norm_lag2","case_degree_sensor_ratio_lag2","case_degree_ratio_lag2","ili_lag3","sum_degree_sensor_lag3","sum_degree_lag3","case_norm_lag3","case_sensor_norm_lag3","case_degree_sensor_ratio_lag3","case_degree_ratio_lag3","ili_lag4","sum_degree_sensor_lag4","sum_degree_lag4","case_norm_lag4","case_sensor_norm_lag4","case_degree_sensor_ratio_lag4","case_degree_ratio_lag4"
51,38364,11351,0.333392096777354,0.0222261397851569,36.35,1891.83333333333,426.266666666667,15,23.95,18159,41907,0.301719184307601,0.0193409733530513,3631.8,537.269230769231,19.95,11956,30886,0.236217482165126,0.0254388057716289,1708,475.169230769231,18.31,11768,29287,0.264080808105914,0.0349518716610768,1307.55555555556,430.691176470588,13.03,2100,9949,0.128200285926084,0.0098615604558526,1050,382.653846153846
52,33916,6045,0.325168608759745,0.0106033241986874,29.97,2015,368.652173913043,16,36.35,11351,38364,0.333392096777354,0.0222261397851569,1891.83333333333,426.266666666667,23.95,18159,41907,0.301719184307601,0.0193409733530513,3631.8,537.269230769231,19.95,11956,30886,0.236217482165126,0.0254388057716289,1708,475.169230769231,18.31,11768,29287,0.264080808105914,0.0349518716610768,1307.55555555556,430.691176470588
1,51338,17464,0.450170018623799,0.0340464719967579,36.55,1940.44444444444,431.411764705882,17,29.97,6045,33916,0.325168608759745,0.0106033241986874,2015,368.652173913043,36.35,11351,38364,0.333392096777354,0.0222261397851569,1891.83333333333,426.266666666667,23.95,18159,41907,0.301719184307601,0.0193409733530513,3631.8,537.269230769231,19.95,11956,30886,0.236217482165126,0.0254388057716289,1708,475.169230769231
2,64399,18053,0.68210309699729,0.0524694689997916,90.31,1504.41666666667,412.814102564103,18,36.55,17464,51338,0.450170018623799,0.0340464719967579,1940.44444444444,431.411764705882,29.97,6045,33916,0.325168608759745,0.0106033241986874,2015,368.652173913043,36.35,11351,38364,0.333392096777354,0.0222261397851569,1891.83333333333,426.266666666667,23.95,18159,41907,0.301719184307601,0.0193409733530513,3631.8,537.269230769231
3,128395,61329,0.983855416478901,0.0806438865966312,213.51,3066.45,526.209016393443,19,90.31,18053,64399,0.68210309699729,0.0524694689997916,1504.41666666667,412.814102564103,36.55,17464,51338,0.450170018623799,0.0340464719967579,1940.44444444444,431.411764705882,29.97,6045,33916,0.325168608759745,0.0106033241986874,2015,368.652173913043,36.35,11351,38364,0.333392096777354,0.0222261397851569,1891.83333333333,426.266666666667
4,111357,25020,1.18910196036694,0.0756319268077911,307.52,1390,393.487632508834,20,213.51,61329,128395,0.983855416478901,0.0806438865966312,3066.45,526.209016393443,90.31,18053,64399,0.68210309699729,0.0524694689997916,1504.41666666667,412.814102564103,36.55,17464,51338,0.450170018623799,0.0340464719967579,1940.44444444444,431.411764705882,29.97,6045,33916,0.325168608759745,0.0106033241986874,2015,368.652173913043
5,136194,44436,1.24062865684894,0.105069527941604,348.1,1709.07692307692,443.628664495114,21,307.52,25020,111357,1.18910196036694,0.0756319268077911,1390,393.487632508834,213.51,61329,128395,0.983855416478901,0.0806438865966312,3066.45,526.209016393443,90.31,18053,64399,0.68210309699729,0.0524694689997916,1504.41666666667,412.814102564103,36.55,17464,51338,0.450170018623799,0.0340464719967579,1940.44444444444,431.411764705882
6,87536,41114,0.682812773944797,0.0832698504810728,275.82,2055.7,533.756097560976,22,348.1,44436,136194,1.24062865684894,0.105069527941604,1709.07692307692,443.628664495114,307.52,25020,111357,1.18910196036694,0.0756319268077911,1390,393.487632508834,213.51,61329,128395,0.983855416478901,0.0806438865966312,3066.45,526.209016393443,90.31,18053,64399,0.68210309699729,0.0524694689997916,1504.41666666667,412.814102564103
7,45321,15988,0.433134052169689,0.0367755327313887,240.54,1776.44444444444,427.556603773585,23,275.82,41114,87536,0.682812773944797,0.0832698504810728,2055.7,533.756097560976,348.1,44436,136194,1.24062865684894,0.105069527941604,1709.07692307692,443.628664495114,307.52,25020,111357,1.18910196036694,0.0756319268077911,1390,393.487632508834,213.51,61329,128395,0.983855416478901,0.0806438865966312,3066.45,526.209016393443
8,82763,44164,0.603831458394429,0.101342342667596,185.32,1840.16666666667,578.762237762238,24,240.54,15988,45321,0.433134052169689,0.0367755327313887,1776.44444444444,427.556603773585,275.82,41114,87536,0.682812773944797,0.0832698504810728,2055.7,533.756097560976,348.1,44436,136194,1.24062865684894,0.105069527941604,1709.07692307692,443.628664495114,307.52,25020,111357,1.18910196036694,0.0756319268077911,1390,393.487632508834
9,53855,36732,0.298878104206924,0.042095507634778,145.03,3673.2,758.521126760563,25,185.32,44164,82763,0.603831458394429,0.101342342667596,1840.16666666667,578.762237762238,240.54,15988,45321,0.433134052169689,0.0367755327313887,1776.44444444444,427.556603773585,275.82,41114,87536,0.682812773944797,0.0832698504810728,2055.7,533.756097560976,348.1,44436,136194,1.24062865684894,0.105069527941604,1709.07692307692,443.628664495114
10,15801,4509,0.177049825664219,0.0129548652925038,100.3,1503,385.390243902439,26,145.03,36732,53855,0.298878104206924,0.042095507634778,3673.2,758.521126760563,185.32,44164,82763,0.603831458394429,0.101342342667596,1840.16666666667,578.762237762238,240.54,15988,45321,0.433134052169689,0.0367755327313887,1776.44444444444,427.556603773585,275.82,41114,87536,0.682812773944797,0.0832698504810728,2055.7,533.756097560976
11,22756,10838,0.218494271101221,0.029412690340549,63.17,1548.28571428571,437.615384615385,27,100.3,4509,15801,0.177049825664219,0.0129548652925038,1503,385.390243902439,145.03,36732,53855,0.298878104206924,0.042095507634778,3673.2,758.521126760563,185.32,44164,82763,0.603831458394429,0.101342342667596,1840.16666666667,578.762237762238,240.54,15988,45321,0.433134052169689,0.0367755327313887,1776.44444444444,427.556603773585
12,26959,8955,0.250245198587082,0.0166830132391388,44.51,2238.75,449.316666666667,28,63.17,10838,22756,0.218494271101221,0.029412690340549,1548.28571428571,437.615384615385,100.3,4509,15801,0.177049825664219,0.0129548652925038,1503,385.390243902439,145.03,36732,53855,0.298878104206924,0.042095507634778,3673.2,758.521126760563,185.32,44164,82763,0.603831458394429,0.101342342667596,1840.16666666667,578.762237762238
13,10189,2836,0.100383085017755,0.00772177577059654,25.08,1418,391.884615384615,29,44.51,8955,26959,0.250245198587082,0.0166830132391388,2238.75,449.316666666667,63.17,10838,22756,0.218494271101221,0.029412690340549,1548.28571428571,437.615384615385,100.3,4509,15801,0.177049825664219,0.0129548652925038,1503,385.390243902439,145.03,36732,53855,0.298878104206924,0.042095507634778,3673.2,758.521126760563
14,20909,8608,0.138111509958265,0.0212479246089638,10.71,1434.66666666667,536.128205128205,30,25.08,2836,10189,0.100383085017755,0.00772177577059654,1418,391.884615384615,44.51,8955,26959,0.250245198587082,0.0166830132391388,2238.75,449.316666666667,63.17,10838,22756,0.218494271101221,0.029412690340549,1548.28571428571,437.615384615385,100.3,4509,15801,0.177049825664219,0.0129548652925038,1503,385.390243902439
15,21336,9510,0.144988845800966,0.0165701538058246,10.67,2377.5,609.6,31,10.71,8608,20909,0.138111509958265,0.0212479246089638,1434.66666666667,536.128205128205,25.08,2836,10189,0.100383085017755,0.00772177577059654,1418,391.884615384615,44.51,8955,26959,0.250245198587082,0.0166830132391388,2238.75,449.316666666667,63.17,10838,22756,0.218494271101221,0.029412690340549,1548.28571428571,437.615384615385
16,7409,1228,0.0773321923985874,0.00407011538939934,8.78,1228,389.947368421053,32,10.67,9510,21336,0.144988845800966,0.0165701538058246,2377.5,609.6,10.71,8608,20909,0.138111509958265,0.0212479246089638,1434.66666666667,536.128205128205,25.08,2836,10189,0.100383085017755,0.00772177577059654,1418,391.884615384615,44.51,8955,26959,0.250245198587082,0.0166830132391388,2238.75,449.316666666667
17,10986,5381,0.115600730060227,0.00924805840481813,4.47,2690.5,439.44,33,8.78,1228,7409,0.0773321923985874,0.00407011538939934,1228,389.947368421053,10.67,9510,21336,0.144988845800966,0.0165701538058246,2377.5,609.6,10.71,8608,20909,0.138111509958265,0.0212479246089638,1434.66666666667,536.128205128205,25.08,2836,10189,0.100383085017755,0.00772177577059654,1418,391.884615384615
