"week","sum_degree","sum_degree_sensor","case_norm","case_sensor_norm","ili","case_degree_sensor_ratio","case_degree_ratio","week_flu_season","ili_lag1","sum_degree_sensor_lag1","sum_degree_lag1","case_norm_lag1","case_sensor_norm_lag1","case_degree_sensor_ratio_lag1","case_degree_ratio_lag1","ili_lag2","sum_degree_sensor_lag2","sum_degree_lag2","case_norm_lag2","case_sensor_norm_lag2","case_degree_sensor_ratio_lag2","case_degree_ratio_lag2","ili_lag3","sum_degree_sensor_lag3","sum_degree_lag3","case_norm_lag3","case_sensor_norm_lag3","case_degree_sensor_ratio_lag3","case_degree_ratio_lag3","ili_lag4","sum_degree_sensor_lag4","sum_degree_lag4","case_norm_lag4","case_sensor_norm_lag4","case_degree_sensor_ratio_lag4","case_degree_ratio_lag4"
52,126139,108105,0.240926294936756,0.0231025214322916,52.04,15443.5714285714,1727.93150684932,16,38.45,4161,18987,0.217358385577836,0.0114399150304124,1387,333.105263157895,29.07,3034,20779,0.247358282256138,0.00785264388114725,1517,329.825396825397,19.26,17365,35311,0.256689534257874,0.0249559269417378,2480.71428571429,490.430555555556,16.94,5915,19533,0.228380308024134,0.0160266882823954,1478.75,342.684210526316
1,18279,1322,0.318156890929689,0.00467877780778954,94.96,1322,268.808823529412,17,52.04,108105,126139,0.240926294936756,0.0231025214322916,15443.5714285714,1727.93150684932,38.45,4161,18987,0.217358385577836,0.0114399150304124,1387,333.105263157895,29.07,3034,20779,0.247358282256138,0.00785264388114725,1517,329.825396825397,19.26,17365,35311,0.256689534257874,0.0249559269417378,2480.71428571429,490.430555555556
2,86241,40641,0.682494350928869,0.028607547643725,163.48,5805.85714285714,516.413173652695,18,94.96,1322,18279,0.318156890929689,0.00467877780778954,1322,268.808823529412,52.04,108105,126139,0.240926294936756,0.0231025214322916,15443.5714285714,1727.93150684932,38.45,4161,18987,0.217358385577836,0.0114399150304124,1387,333.105263157895,29.07,3034,20779,0.247358282256138,0.00785264388114725,1517,329.825396825397
3,87149,16753,0.994583149617385,0.0448377649417674,282.48,1523,357.168032786885,19,163.48,40641,86241,0.682494350928869,0.028607547643725,5805.85714285714,516.413173652695,94.96,1322,18279,0.318156890929689,0.00467877780778954,1322,268.808823529412,52.04,108105,126139,0.240926294936756,0.0231025214322916,15443.5714285714,1727.93150684932,38.45,4161,18987,0.217358385577836,0.0114399150304124,1387,333.105263157895
4,67626,19424,0.705221192212101,0.049780319450266,294.85,1618.66666666667,397.8,20,282.48,16753,87149,0.994583149617385,0.0448377649417674,1523,357.168032786885,163.48,40641,86241,0.682494350928869,0.028607547643725,5805.85714285714,516.413173652695,94.96,1322,18279,0.318156890929689,0.00467877780778954,1322,268.808823529412,52.04,108105,126139,0.240926294936756,0.0231025214322916,15443.5714285714,1727.93150684932
5,50026,12997,0.518366208447394,0.0329121402188822,217.11,1624.625,397.031746031746,21,294.85,19424,67626,0.705221192212101,0.049780319450266,1618.66666666667,397.8,282.48,16753,87149,0.994583149617385,0.0448377649417674,1523,357.168032786885,163.48,40641,86241,0.682494350928869,0.028607547643725,5805.85714285714,516.413173652695,94.96,1322,18279,0.318156890929689,0.00467877780778954,1322,268.808823529412
6,30439,5383,0.435678125955315,0.0128140625280975,152.73,1794.33333333333,298.421568627451,22,217.11,12997,50026,0.518366208447394,0.0329121402188822,1624.625,397.031746031746,294.85,19424,67626,0.705221192212101,0.049780319450266,1618.66666666667,397.8,282.48,16753,87149,0.994583149617385,0.0448377649417674,1523,357.168032786885,163.48,40641,86241,0.682494350928869,0.028607547643725,5805.85714285714,516.413173652695
7,24112,3434,0.242239513996478,0.00807465046654927,103.13,1717,401.866666666667,23,152.73,5383,30439,0.435678125955315,0.0128140625280975,1794.33333333333,298.421568627451,217.11,12997,50026,0.518366208447394,0.0329121402188822,1624.625,397.031746031746,294.85,19424,67626,0.705221192212101,0.049780319450266,1618.66666666667,397.8,282.48,16753,87149,0.994583149617385,0.0448377649417674,1523,357.168032786885
8,17786,2756,0.199833865391,0.00908335751777272,71.17,1378,404.227272727273,24,103.13,3434,24112,0.242239513996478,0.00807465046654927,1717,401.866666666667,152.73,5383,30439,0.435678125955315,0.0128140625280975,1794.33333333333,298.421568627451,217.11,12997,50026,0.518366208447394,0.0329121402188822,1624.625,397.031746031746,294.85,19424,67626,0.705221192212101,0.049780319450266,1618.66666666667,397.8
9,20732,6981,0.19138601140504,0.0173987283095491,48.29,1745.25,471.181818181818,25,71.17,2756,17786,0.199833865391,0.00908335751777272,1378,404.227272727273,103.13,3434,24112,0.242239513996478,0.00807465046654927,1717,401.866666666667,152.73,5383,30439,0.435678125955315,0.0128140625280975,1794.33333333333,298.421568627451,217.11,12997,50026,0.518366208447394,0.0329121402188822,1624.625,397.031746031746
10,23832,5023,0.239097065148734,0.0130416580990218,34.11,1674.33333333333,433.309090909091,26,48.29,6981,20732,0.19138601140504,0.0173987283095491,1745.25,471.181818181818,71.17,2756,17786,0.199833865391,0.00908335751777272,1378,404.227272727273,103.13,3434,24112,0.242239513996478,0.00807465046654927,1717,401.866666666667,152.73,5383,30439,0.435678125955315,0.0128140625280975,1794.33333333333,298.421568627451
11,12450,1289,0.158847228016592,0.00441242300046088,20.04,1289,345.833333333333,27,34.11,5023,23832,0.239097065148734,0.0130416580990218,1674.33333333333,433.309090909091,48.29,6981,20732,0.19138601140504,0.0173987283095491,1745.25,471.181818181818,71.17,2756,17786,0.199833865391,0.00908335751777272,1378,404.227272727273,103.13,3434,24112,0.242239513996478,0.00807465046654927,1717,401.866666666667
12,10884,4978,0.131325038391064,0.0135853487990755,17.46,1659.33333333333,375.310344827586,28,20.04,1289,12450,0.158847228016592,0.00441242300046088,1289,345.833333333333,34.11,5023,23832,0.239097065148734,0.0130416580990218,1674.33333333333,433.309090909091,48.29,6981,20732,0.19138601140504,0.0173987283095491,1745.25,471.181818181818,71.17,2756,17786,0.199833865391,0.00908335751777272,1378,404.227272727273
14,6275,1815,0.0910438440750351,0.00455219220375175,13.63,1815,313.75,30,17.46,4978,10884,0.131325038391064,0.0135853487990755,1659.33333333333,375.310344827586,20.04,1289,12450,0.158847228016592,0.00441242300046088,1289,345.833333333333,34.11,5023,23832,0.239097065148734,0.0130416580990218,1674.33333333333,433.309090909091,48.29,6981,20732,0.19138601140504,0.0173987283095491,1745.25,471.181818181818
15,9838,1725,0.0957628718102793,0.00416360312218605,9.53,1725,427.739130434783,31,13.63,1815,6275,0.0910438440750351,0.00455219220375175,1815,313.75,17.46,4978,10884,0.131325038391064,0.0135853487990755,1659.33333333333,375.310344827586,20.04,1289,12450,0.158847228016592,0.00441242300046088,1289,345.833333333333,34.11,5023,23832,0.239097065148734,0.0130416580990218,1674.33333333333,433.309090909091
16,6038,1049,0.0767108747951253,0.00348685794523297,4.9,1049,274.454545454545,32,9.53,1725,9838,0.0957628718102793,0.00416360312218605,1725,427.739130434783,13.63,1815,6275,0.0910438440750351,0.00455219220375175,1815,313.75,17.46,4978,10884,0.131325038391064,0.0135853487990755,1659.33333333333,375.310344827586,20.04,1289,12450,0.158847228016592,0.00441242300046088,1289,345.833333333333
18,5505,2639,0.0633830366204368,0.00845107154939157,2.59,1319.5,367,34,4.9,1049,6038,0.0767108747951253,0.00348685794523297,1049,274.454545454545,9.53,1725,9838,0.0957628718102793,0.00416360312218605,1725,427.739130434783,13.63,1815,6275,0.0910438440750351,0.00455219220375175,1815,313.75,17.46,4978,10884,0.131325038391064,0.0135853487990755,1659.33333333333,375.310344827586
